economy,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017
CZE,1460.55590820313,1543.97790527344,1591.8515625,2356.08056640625,2550.56713867188,2691.54931640625,2857.02221679688,2742.0751953125,2773.9599609375,2903.66162109375,3139.2353515625,3237.23583984375,3402.826171875,3592.07373046875,3516.17163085938,3682.03344726563
DEU,3260.09204101563,3295.27709960938,3309.57348632813,3335.03491210938,3434.5693359375,3578.50341796875,3733.27807617188,3922.21459960938,4058.00024414063,4188.8115234375,4352.32275390625,4366.6865234375,4320.7041015625,4743.7861328125,4861.7431640625,5076.51904296875
FRA,3117.2119140625,3199.74829101563,3334.1669921875,3313.25854492188,3423.74853515625,3585.80590820313,3659.884765625,3747.28466796875,3873.01293945313,3942.38891601563,4073.25048828125,4154.8154296875,4233.63818359375,4336.01416015625,4414.69873046875,4569.90771484375
GBR,3340.2216796875,3638.09033203125,3824.26196289063,4123.53173828125,4176.3125,4111.140625,4053.92724609375,4076.55200195313,4043.26708984375,3926.11791992188,3969.85913085938,4119.451171875,4227.6201171875,4319.50146484375,4357.93310546875,4434.9658203125
MLT,682.186401367188,688.521423339844,1082.37731933594,1183.73022460938,1282.21533203125,1206.31994628906,1321.15234375,1200.33435058594,1417.00842285156,1785.91088867188,1986.68115234375,1886.65515136719,1831.71899414063,1891.32275390625,2054.5888671875,2130.462890625
ROU,928.281982421875,965.221313476563,985.128967285156,1071.93762207031,895.767517089844,894.163330078125,931.082580566406,933.763366699219,966.204162597656,790.688049316406,890.669982910156,922.674560546875,903.826293945313,876.228210449219,911.585205078125,891.321228027344
SVN,2335.87133789063,1899.02514648438,2024.89978027344,2633.11450195313,2924.9462890625,3106.1796875,3475.93627929688,3661.11962890625,3769.81372070313,4277.314453125,4317.18359375,4220.32763671875,4147.0615234375,3814.2158203125,3914.26123046875,4479.400390625
